plan,precio_original_kwh,con_pi_kwh,sin_pi_kwh,punta,valle,total_potencia,activo,umbral_especial_plus,comunidades_autonomas
IMPULSA 24h,0.173,0.13,0.138,0.119,0.06,0.179,True,0.0,Aragón;Canarias;Asturias;Extremadura;Andalucía;Baleares;Galicia;Castilla-La Mancha;Cantabria;Madrid;Cataluña
ESTABLE,0.162,0.119,0.126,0.1,0.043,0.143,False,0.0,Toda España
HOGAR,0.199,0.159,0.169,0.085,0.046,0.131,True,0.0,Toda España
AHORRO AUTOMÁTICO,0.215,0.215,0.215,0.1,0.04,0.14,False,0.0,Toda España
ESPECIAL PLUS,0.156,0.125,0.133,0.11,0.06,0.1699999999999999,True,1.0,Toda España
Estable MI IBERDROLA,0.179,0.17,0.179,0.116,0.068,0.184,True,0.0,Toda España
SUPER TRANQUILIDAD,0.165,0.132,0.14,0.09,0.09,0.18,True,0.0,Toda España
